idx;gradimento
8d2005ec35280deb6a438dc87b225f89;57
b3072cd11f40eb57fd259555264476c6;88
4adc9fee977fa04c357ed4c9b52aa3cc;55
59c641a72b495d522a7932145d6c02b3;17
d227f2faf6ec185e54436d86463f499b;8
fe612cc9179e038f97816fce891022a6;99
6e67b6ad4cc6b420fe86fb975925fb32;67
c593d7fd658f9ff5bc0c1aee2e9c917e;14
8c1fad5ce0dab8908dee527f88697ce2;17
5be32167a2dcc08470287a6029b7e4c5;18
fa2133f1e5a865a5a5044777824fe147;43
586938c5a53d9b916498a893248a5da3;18
09704782c2fd58e9198a4cc8f04e30d0;48
d564abb00bb146ff75c7ed2d9b48aadc;95
9d3f203c5a8a124ec5a1b21fe3ad1842;37
c8a830e0143916293557b7276958ac48;54
f5ae6143fa79ba55deb5e9e720b4c681;16
0cdccbb0c544e4909e1b4716f52f2280;10
2b48856a1e68b1deaae63aa0eea7b7e9;82
50e3e579db0eef68a893b76b8199cf81;92
66dccf5471154abd3be663c350d5efe2;63
801e86946c2329fd5726edc0bb3e963d;89
7d12cb15860436be16912357f0be08a2;23
d068844107e5598a288ae47bfec0f2b2;8
3662a6a374fcea54ec738d033b39d82f;22
cc20b7b4de317a6f4059bd6feb079334;48
69fe3987d601f0587dc520bfb69677ea;59
7956226f4de23c38aed5595b450c9b9d;20
e6e196b3a82c9cb3ff7eaac009267412;21
bbef254b3f90c8278f977ea8121a57d2;33
0074c1012512e2dcf400b1e9c035208e;29
5f8a936887d97bc9919f1a480d104afb;85
1a9a6a4962016618a35dd84798a944d7;95
6521f0504d531b20520cec1473a4550e;47
1e7aa4ab0c99b7ae0939079e546ca811;31
21e445747a81a2a3cc0ce460ecc7ff1a;9
da4e5d625c05a0dd04438d62955d9151;19
4e1a6a4fee0243d759252b0df64ce88e;58
0525aec6b519ddb1d3e5f95694833fa5;4
3e080d2b563873460d870ca518c36b34;46
23e788d0fced999bfa90e708ef32f8a4;48
63c86a14825aa35326adfc8e7734a5c3;69
ba54500eba96096b0cb825e86443825a;7
5372b8c83c43e324b6402a6c0330be5d;90
a1497aca438d56b84dc0193fe5ca0fbe;5
53bf4dd0f7ee41aebe0b1855137fb2d5;16
93a6023e92f55b5e3516df7f69738beb;9
db23fcd41cf1d29973d99b3e40e76e31;79
5c0d8f75d55a413648cb705b502a2b93;51
f14e7d08564e3ffc76e1b0d058170d4a;27
0a32870bdf03f29da4951da4cc1c3880;91
429ab8f1396554b0ac090830e8d9f7b3;20
6e4888a48bcd85008f345c55c33777f6;22
4965d66fe7fa73bd90934b473ea521f2;53
34c18c78deb9e4a7f769eef0a24d47cd;65
6e7596269c3093f98e7cb62f036bc825;38
867a2991492291fccfdfd318a63361df;13
ad4cdcae576bb4627704c2dc1f7c097b;100
1ffd4ddeea3bd9e7f144fb82512d5460;71
8f396d984997de805747ef8f80704b39;65
ff02458be71976bcb02f62110ea42943;72
dfec7476d0b3935e2983742c036c5f16;95
9d9f829178b889183e88238c5eaf6c72;30
6f621f5283ff22ef866fd68ff47f97b5;45
8655d2ca31708e6a43dcba0f65452dd1;33
854b552c65bb2526ae19ed18038aa119;78
e8dc3fb78601eda527258b55b58250f4;80
80918fa489ba8bc87b16357283b3fafb;4
dff62bf34eef0948018f3e237c140df2;16
8411dfc2328b8699f4f6667448375074;74
c43ada5a4cc9d4a524a8e59d8a609f5f;86
860a90e8e36b7082b0a0f6eeb20157b0;28
dd77f7d775c284daf6122bb588cf5fc8;44
17e626fcd9f28debd624bae403038c10;34
d0f99b410dc0547df0b9bd06138fbc79;1
e1657cffcd58b80432d64add5cfcc007;31
4aa54f7185afe0e654fa19d7a64473a8;96
c3226dd080f3f08553ecc0601e91623f;26
01311bbba4654fdcec46bfcbd238e507;51
cdefae1c2785ae8869e95ce7448a6932;86
a2d3435c9ceac8a77105695fb8c73caf;53
08f2c1c22ccb8d45650cb351b2c073a6;43
baf27b90934ade9c5ef3f240c9171da0;46
1e4bc205ca3344eea70677becbee87a7;60
c8347288e8d4d4b1c01ff314670d65be;79
